source,target,mor
LIN28A,hsa-miR-107-3p,-1
LIN28A,hsa-miR-143-3p,-1
LIN28A,hsa-miR-150-3p,-1
LIN28A,hsa-miR-200c-3p,-1
LIN28A,hsa-miR-370-3p,-1
LIN28B,hsa-let-7a-3p,-1
LIN28B,hsa-let-7b-3p,-1
LIN28B,hsa-let-7c-3p,-1
LIN28B,hsa-let-7d-3p,-1
LIN28B,hsa-let-7e-3p,-1
LIN28B,hsa-let-7f-3p,-1
LAMTOR5,hsa-miR-503-3p,-1
KMT2A,hsa-miR-27b-3p,1
KMT2A,hsa-miR-27a-3p,1
KMT2A,hsa-miR-24-2-3p,1
KLF4,hsa-miR-183-3p,1
KLF4,hsa-miR-200a-3p,1
KLF4,hsa-miR-200b-3p,1
KLF4,hsa-miR-203-3p,1
KLF4,hsa-miR-206-3p,1
KLF4,hsa-miR-21-3p,1
KLF4,hsa-miR-31-3p,1
KLF4,hsa-miR-429-3p,1
KLF4,hsa-miR-544-3p,1
KLF4,hsa-miR-96-3p,1
LIN28B,hsa-let-7g-3p,-1
KLF5,hsa-miR-141-3p,1
KLF5,hsa-miR-200b-3p,1
KLF5,hsa-miR-200c-3p,1
KLF5,hsa-miR-429-3p,1
KLF8,hsa-miR-132-3p,-1
KLF8,hsa-miR-141-3p,-1
KLF9,hsa-miR-21-3p,-1
KMT2A,hsa-miR-146a-3p,1
KMT2A,hsa-miR-155-3p,1
KMT2A,hsa-miR-23a-3p,1
KMT2A,hsa-miR-23b-3p,1
KMT2A,hsa-miR-24-1-3p,1
KLF5,hsa-miR-200a-3p,1
LIN28B,hsa-let-7i-3p,-1
LMO2,hsa-miR-142-3p,-1
MECOM,hsa-miR-124-3p,-1
MECP2,hsa-miR-184-3p,-1
MEF2A,hsa-miR-1-1-3p,1
MEF2A,hsa-miR-1-2-3p,1
MEF2A,hsa-miR-23a-3p,1
MEF2A,hsa-miR-24-2-3p,1
MEF2A,hsa-miR-27a-3p,1
MEF2A,hsa-miR-424-3p,1
MEF2C,hsa-miR-424-3p,1
MEF2C,hsa-miR-503-3p,1
MEF2D,hsa-miR-1244-3p,-1
MEIS1,hsa-miR-196b-3p,1
MEIS1,hsa-miR-21-3p,1
MEN1,hsa-miR-23a-3p,1
MEN1,hsa-miR-23b-3p,1
MEN1,hsa-miR-24-1-3p,1
MEN1,hsa-miR-24-2-3p,1
MEN1,hsa-miR-27a-3p,1
MEF2A,hsa-miR-503-3p,1
KLF4,hsa-miR-15a-3p,1
MAX,hsa-miR-92a-2-3p,1
LMX1A,hsa-miR-135a-2-3p,1
MAFB,hsa-miR-506-3p,-1
MAX,hsa-miR-106a-3p,1
MAX,hsa-miR-106b-3p,1
MAX,hsa-miR-15-3p,-1
MAX,hsa-miR-93-3p,1
MAX,hsa-miR-16-3p,-1
MAX,hsa-miR-18a-3p,-1
MAX,hsa-miR-18b-3p,1
MAX,hsa-miR-193a-3p,-1
